nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
Kr85,0.22743508484265937,0.0005251794166419991,2.2486510129370454e-06,5.093295384788019e-07,8.68704783536824e-09,0.0,0.0
Kr86,0.0012431916650112237,0.0001780255739418869,5.351123909732737e-07,1.0262685703158215e-07,6.382977915933815e-08,0.0,0.0
Rb85,0.3141206332646169,0.00010880992200310006,0.00013970240619913424,1.7716358613806023e-06,4.5958167983316754e-11,0.0,0.0
Rb86,1.339057418592316,0.00033190655184756816,0.00011144128092692592,2.7213515942483097e-06,2.625309460679346e-11,0.0,0.0
Rb87,0.09633239252367863,0.00020474085299250933,2.9454782925677476e-06,3.7274092361019e-07,3.6397373199359156e-09,0.0,0.0
Sr84,0.4744362332781926,2.594339123988759e-05,0.001293157284410554,3.4100472225333776e-05,0.0,0.0,0.0
Sr86,0.2481510450340684,5.650602669693591e-05,0.0001993913064089175,2.416655052441922e-06,0.0,0.0,0.0
Sr87,4.30200794838728,0.0006461639480449362,0.00020352226480592237,9.901981581720736e-06,0.0,0.0,0.0
Sr88,0.0030705480600132762,6.38296394328761e-05,2.7963335192819933e-06,2.0387534441080086e-07,6.297820264455498e-14,0.0,0.0
Sr89,0.0452439307134674,0.00286687803425185,1.3074146408531038e-06,1.3467688706365464e-06,3.789561562584051e-08,0.0,0.0
Sr90,0.006216432699190058,0.0011918125795765623,4.446033881877904e-07,2.8334553662450756e-07,2.0808560269764484e-06,0.0,0.0
Y89,0.12219460080550053,5.6260901609496616e-05,9.479952616622832e-05,1.1166096904171023e-06,0.0,0.0,0.0
Y90,0.3227949917395539,0.001280796941845661,2.0569043090218438e-05,8.951890268058087e-06,3.0362476897877053e-09,0.0,0.0
Y91,0.20248068982323705,0.0009875549145549288,3.779939922710641e-06,1.1931335162670632e-06,1.1714210357640649e-06,0.0,0.0
Zr90,0.008846301160827639,3.4396492885377526e-05,0.00010863582212137313,6.826680481411722e-06,0.0,0.0,0.0
Zr91,0.25441151828372327,0.0008546894269651293,6.320226589069886e-05,0.00015369128030779267,0.0,0.0,0.0
Zr92,0.04560637585422618,0.0005335827462255289,7.26884411974062e-06,1.5769856556459537e-05,1.1325499645955605e-07,0.0,0.0
Zr93,0.6099898966316513,0.0014197136894123215,2.028950206988219e-06,1.127661481336368e-05,3.8157359757192556e-07,0.0,0.0
Zr94,0.018686420473618015,0.0008491018184699631,6.819337046938128e-07,1.0619567911780696e-06,4.768946895224709e-07,0.0,0.0
Zr95,0.3470023679788171,0.002249442749810234,3.0298424504235506e-07,8.876201526356474e-07,1.1352271141244239e-06,0.0,0.0
Zr96,0.16354919100915513,0.0011872903058016398,4.674195036735606e-08,1.0342050880749234e-07,1.0373400537937445e-06,0.0,0.0
Nb93,0.4200157557004445,0.00046031879141155254,8.730029780035643e-05,3.669957935040454e-05,9.325971261830191e-08,0.0,0.0
Nb94,4.433437309379128,0.0018425841906673608,0.00012464899588314802,3.31649485021581e-05,3.446695908997247e-07,0.0,0.0
Nb95,1.790664391658551,0.0007127191079985192,1.9344721554612866e-05,7.586825464604828e-06,6.007117788133427e-07,0.0,0.0
Mo92,0.049645126054043295,8.40395288971953e-06,0.0037497950087066654,5.1375166491278455e-05,0.0,0.0,0.0
Mo94,0.09120118649692308,0.0002150557023719693,0.00011412508531447115,0.00031368135686027533,7.250955471460063e-09,0.0,0.0
Mo95,4.118553306017941,0.0008666727453537943,1.911330765746153e-05,0.00018000590954987393,2.590222626820149e-08,0.0,0.0
Mo96,0.604491346942508,0.0003748488495097964,8.717770920345224e-06,2.96993143491955e-05,8.536102431214398e-08,0.0,0.0
Mo97,0.7381587161494333,0.0015107344658288043,5.592943119964525e-06,3.13946513106648e-05,3.1107398039095793e-07,0.0,0.0
Mo98,0.23242053424481424,0.0006013474288715103,7.219817505045782e-07,3.1718230125230826e-06,3.608741446782759e-07,0.0,0.0
Mo99,1.8409581479949424,0.006854769285374825,1.0231543521671798e-06,2.37289980567673e-06,2.239443810632924e-06,0.0,0.0
Mo100,0.15155898917012156,0.0007490801100523308,1.633555536423688e-07,5.719622635580075e-07,1.1846848182355603e-06,0.0,0.0
Tc99,9.248031532074675,0.00038536796276494623,6.613328812312983e-06,3.5760731454197652e-06,4.3704733879530744e-07,0.0,0.0
Ru96,0.302136644834712,7.073871485161413e-05,0.0011200412787668883,0.0033077175622422254,0.0,0.0,0.0
Ru98,0.9805598949917769,0.00014031362021052504,0.00016384850511173236,0.00022221140241254802,1.823023906701612e-08,0.0,0.0
Ru99,5.411162995402052,0.0014298949311156424,0.00012366797765371823,0.00032643271607161534,4.706180624018497e-08,0.0,0.0
Ru100,0.7850507257124725,0.00032734912328446,6.627188552464966e-06,2.4270070632042834e-05,1.5941948830517208e-07,0.0,0.0
Ru101,3.618493733965571,0.0016473663255779144,8.413983670958287e-06,8.21662382867751e-06,6.87854752981819e-08,0.0,0.0
Ru102,0.2837597498233728,0.0002904711569768568,9.07922836061272e-07,6.114708929971079e-06,1.4122890924013245e-07,0.0,0.0
Ru103,1.4473717836166136,0.0031276449386781987,3.972316712715045e-06,3.941928478339469e-06,2.7346452427594286e-07,0.0,0.0
Ru104,0.2569983143617654,0.000542971217162633,6.978689238402278e-07,3.5894653210366115e-07,6.648191331578717e-07,0.0,0.0
Ru105,0.269216864174518,0.004123611745243626,2.8423852671929076e-06,1.2754976712055468e-06,1.0475715604194493e-06,0.0,0.0
Ru106,0.08593784820790609,0.0009803477173022054,2.7132535757296255e-07,5.627463597421685e-08,3.478341552324366e-06,0.0,0.0
Rh103,37.469116391625725,0.00031065059729170084,4.707145071893715e-05,4.109147741788423e-06,6.118589646743616e-08,0.0,0.0
Rh105,1578.2217316773629,0.00034392900019012383,6.878354290238458e-06,1.0901483717779904e-06,3.673968324268234e-07,0.0,0.0
Pd102,0.5873907912684603,9.444911666926378e-05,0.001869206216088282,0.0003417504331910625,8.496565544439221e-11,0.0,0.0
Pd104,0.726980155807382,0.0001952405242809635,5.236460514066669e-05,3.544776967422068e-05,6.880369050260431e-09,0.0,0.0
Pd105,4.45835698183923,0.0011098426376631365,3.236911855789638e-05,1.4445903660338317e-05,3.479836094267799e-08,0.0,0.0
Pd106,0.3136921766170739,0.00033293363147310074,1.5267604488141222e-05,4.3607332052531516e-06,5.615145312440167e-08,0.0,0.0
Pd107,3.602166428932931,0.0037621703179298574,4.777955713051949e-06,3.0696672722770224e-06,5.160181545552639e-07,0.0,0.0
Pd108,7.473661215415916,0.0004938887980963925,2.7712079105293494e-06,9.495663412969629e-07,2.600066527237763e-07,0.0,0.0
Pd110,0.1307347870750047,0.0006911997137282198,6.084398920154401e-07,5.4017949870454885e-08,6.583715080499719e-07,0.0,0.0
Ag107,6.000397648337041,0.0002961472470421269,0.00016523890876805292,5.910813494621868e-06,2.7589981247812394e-08,0.0,0.0
Ag109,41.82572035289227,0.0003380706224794525,1.6212817446633553e-05,1.032126467120326e-06,9.422094616930775e-08,0.0,0.0
Ag110_m1,8.845782757205638,0.0026405848284462886,2.490654362957947e-05,1.0371912910371645e-06,6.616230383463847e-07,0.0,0.0
Ag111,3.1866655703105344,0.0005447655631962683,3.342750506916449e-06,3.67075631996387e-07,3.6309968593207043e-07,0.0,0.0
Cd106,0.33927458998029136,6.962593592636062e-05,0.0005592532371161236,0.002061799797469156,1.8208953013489478e-11,0.0,0.0
Cd108,0.6665422992941824,0.00010865739730385839,3.720476191211027e-05,8.289618421023041e-06,4.246533607209748e-09,0.0,0.0
Cd110,1.836826307058744,0.0001843284023988704,6.019967823822463e-06,1.2026392526002417e-06,3.258954087431548e-08,0.0,0.0
Cd111,2.137099714780335,0.0021800189898167383,3.2984233408376585e-05,7.32056265188148e-06,2.3739405388927254e-07,0.0,0.0
Cd112,0.5509705653506909,0.0002719487520061738,2.2394558058733824e-06,2.2579351645187597e-07,1.3124911568791866e-07,0.0,0.0
Cd113,2986.6340901899457,0.0022993901164013388,2.706003087967505e-06,9.726008370744942e-07,1.9361235441386362e-07,0.0,0.0
